"","user_id","product_id","prodPurchCount","prodAddtocartOrder","prodPurch_lag","prodLastPurch","prodNextPurch","FUTorder_number","FUTorder_dow","FUTorder_hour_of_day","FUTdays_since_prior_order","FUTadd_to_cart_order","FUTreordered","product_name","aisle_id","department_id"
"1",1,196,10,1,19.5,176,195.5,11,4,8,14,1,1,"Soda",77,7
"2",1,10258,9,3,20,176,196,11,4,8,14,6,1,"Pistachios",117,19
"3",1,10326,1,5,0,93,93,NA,NA,NA,NA,NA,0,"Organic Fuji Apples",24,4
"4",1,12427,10,2,19.5,176,195.5,NA,NA,NA,NA,NA,0,"Original Beef Jerky",23,19
"5",1,13032,3,6,44,176,220,11,4,8,14,7,1,"Cinnamon Toast Crunch",121,14
"6",1,13176,2,6,39,93,132,NA,NA,NA,NA,NA,0,"Bag of Organic Bananas",24,4
"7",1,14084,1,2,0,0,0,NA,NA,NA,NA,NA,0,"Organic Unsweetened Vanilla Almond Milk",91,16
"8",1,17122,1,6,0,93,93,NA,NA,NA,NA,NA,0,"Honeycrisp Apples",24,4
"9",1,25133,8,4,19.5,176,195.5,11,4,8,14,2,1,"Organic String Cheese",21,16
"10",1,26088,2,4,7.5,15,22.5,11,4,8,14,8,1,"Aged White Cheddar Popcorn",23,19
"11",1,26405,2,5,32.5,65,97.5,11,4,8,14,4,1,"XL Pick-A-Size Paper Towel Rolls",54,17
"12",1,30450,1,5,0,36,36,NA,NA,NA,NA,NA,0,"Creamy Almond Butter",88,13
"13",1,35951,1,7,0,176,176,NA,NA,NA,NA,NA,0,"Organic Unsweetened Almond Milk",91,16
"14",1,38928,1,4,0,176,176,11,4,8,14,3,1,"0% Greek Strained Yogurt",120,16
"15",1,39657,1,3,0,176,176,11,4,8,14,5,1,"Milk Chocolate Almonds",45,19
"16",1,41787,1,7,0,93,93,NA,NA,NA,NA,NA,0,"Bartlett Pears",24,4
"17",1,46149,3,2,0,176,176,11,4,8,14,11,1,"Zero Calorie Cola",77,7
"18",1,49235,2,4,0,146,146,11,4,8,14,10,1,"Organic Half & Half",53,16
"19",1,NA,1,NA,0,190,190,NA,NA,NA,NA,NA,0,NA,NA,NA
"20",2,23,1,12,0,83,83,NA,NA,NA,NA,NA,0,"Organic Turkey Burgers",49,12
"21",2,79,1,3,0,185,185,NA,NA,NA,NA,NA,0,"Wild Albacore Tuna No Salt Added",95,15
"22",2,1559,6,6,29,198,227,NA,NA,NA,NA,NA,0,"Cherry Pomegranate Greek Yogurt",120,16
"23",2,2002,4,11,7,127,134,NA,NA,NA,NA,NA,0,"The World's Best Veggie Burger",42,1
"24",2,2573,2,10,50.5,198,248.5,NA,NA,NA,NA,NA,0,"Garlic Pepper Ramen",66,6
"25",2,3151,1,7,0,155,155,NA,NA,NA,NA,NA,0,"Super Tea Power Greens",94,7
"26",2,4071,1,2,0,127,127,NA,NA,NA,NA,NA,0,"Organic Lemongrass Ginger Ramen",66,6
"27",2,4957,1,17,0,42,42,NA,NA,NA,NA,NA,0,"Total 2% Lowfat Greek Strained Yogurt With Blueberry",120,16
"28",2,5212,1,15,0,83,83,NA,NA,NA,NA,NA,0,"Watermelon Chunks",123,4
"29",2,5322,1,2,0,29,29,NA,NA,NA,NA,NA,0,"Gluten Free Dark Chocolate Chunk Chewy with a Crunch Granola Bars",3,19
"30",2,5450,1,17,0,91,91,15,1,11,30,11,1,"Small Hass Avocado",24,4
"31",2,5869,1,4,0,185,185,NA,NA,NA,NA,NA,0,"Unsweetened Carob Chips",17,13
"32",2,5907,1,7,0,29,29,NA,NA,NA,NA,NA,0,"Apple Cinnamon Fig Bar",48,14
"33",2,7781,2,8,53.5,198,251.5,NA,NA,NA,NA,NA,0,"Organic Sticks Low Moisture Part Skim Mozzarella String Cheese",21,16
"34",2,7963,1,16,0,198,198,15,1,11,30,2,1,"Gluten Free Whole Grain Bread",58,1
"35",2,8296,1,12,0,127,127,NA,NA,NA,NA,NA,0,"OG Sesame Tamari Rice Cake Organic Rice Cakes",78,19
"36",2,9124,1,23,0,91,91,NA,NA,NA,NA,NA,0,"Broccoli & Cheddar Bake Meal Bowl",38,1
"37",2,9681,1,3,0,42,42,NA,NA,NA,NA,NA,0,"Chicken Tikka Masala with Cumin Infused Basmati Rice Frozen Meal",38,1
"38",2,10305,1,10,0,155,155,NA,NA,NA,NA,NA,0,"Black Plum",24,4
"39",2,12000,4,2,10,97,107,NA,NA,NA,NA,NA,0,"Baked Organic Sea Salt Crunchy Pea Snack",72,13
"40",2,12258,1,19,0,155,155,NA,NA,NA,NA,NA,0,"Organic White English Muffins",93,3
"41",2,13351,2,10,32,155,187,NA,NA,NA,NA,NA,0,"Total 0% Peach Yogurt",120,16
"42",2,13742,1,7,0,91,91,NA,NA,NA,NA,NA,0,"Organic Coconut Almond Peanut",3,19
"43",2,14306,1,16,0,83,83,NA,NA,NA,NA,NA,0,"Organic Packham Or Anjou Pears",110,13
"44",2,14553,1,8,0,29,29,NA,NA,NA,NA,NA,0,"Oats & Honey Granola",57,14
"45",2,15841,1,9,0,91,91,NA,NA,NA,NA,NA,0,"Organic Dark Chocolate Almond & Sea Salt Trail Mix Bar",3,19
"46",2,16521,1,6,0,185,185,NA,NA,NA,NA,NA,0,"Walnut Halves & Pieces",117,19
"47",2,16589,4,6,35.5,198,233.5,15,1,11,30,3,1,"Plantain Chips",107,19
"48",2,17224,1,3,0,29,29,NA,NA,NA,NA,NA,0,"Oats & Honey Gluten Free Granola",3,19
"49",2,17758,2,10,13.5,83,96.5,NA,NA,NA,NA,NA,0,"Strawberry Rhubarb Yoghurt",120,16
"50",2,17872,3,14,6,97,103,NA,NA,NA,NA,NA,0,"Total 2% Lowfat Plain Greek Yogurt",120,16
"51",2,18523,6,8,29,198,227,NA,NA,NA,NA,NA,0,"Total 2% All Natural Greek Strained Yogurt with Honey",120,16
"52",2,18961,1,8,0,91,91,NA,NA,NA,NA,NA,0,"Organic Dark Chocolate Pomegranate Trail Mix Bar",3,19
"53",2,19051,3,5,14,127,141,NA,NA,NA,NA,NA,0,"Pita Chips, Simply Naked, Party Size",107,19
"54",2,19057,1,8,0,185,185,NA,NA,NA,NA,NA,0,"Organic Large Extra Fancy Fuji Apple",24,4
"55",2,19156,6,6,29,198,227,NA,NA,NA,NA,NA,0,"Fat Free Blueberry Yogurt",120,16
"56",2,19240,1,8,0,155,155,NA,NA,NA,NA,NA,0,"Organic Fuji Red Apple Chips",107,19
"57",2,20084,1,13,0,83,83,NA,NA,NA,NA,NA,0,"Pineapple Apple Mint Organic Cold Pressed Juicd",31,7
"58",2,20785,1,14,0,198,198,NA,NA,NA,NA,NA,0,"Extra Sharp Aged Cheddar Cheese slices",21,16
"59",2,21227,1,15,0,127,127,NA,NA,NA,NA,NA,0,"Smart Dogs Veggie Hot Dogs",14,20
"60",2,21376,2,4,31,91,122,NA,NA,NA,NA,NA,0,"Pretzel Crisps Original Deli Style Pretzel Crackers",107,19
"61",2,21709,2,9,21.5,198,219.5,NA,NA,NA,NA,NA,0,"Sparkling Lemon Water",115,7
"62",2,22124,4,8,32,155,187,NA,NA,NA,NA,NA,0,"Total 0% Raspberry Yogurt",120,16
"63",2,22474,2,14,18,127,145,NA,NA,NA,NA,NA,0,"Cheddar Bunnies Snack Crackers",78,19
"64",2,22559,1,24,0,91,91,15,1,11,30,17,1,"Kitchen Cheese Enchilada",38,1
"65",2,22825,1,6,0,198,198,15,1,11,30,6,1,"Organic D'Anjou Pears",24,4
"66",2,22963,2,12,36,155,191,15,1,11,30,1,1,"Organic Roasted Turkey Breast",96,20
"67",2,24768,1,15,0,198,198,NA,NA,NA,NA,NA,0,"All Natural Honey Almond Butter",88,13
"68",2,24852,6,2,11,198,209,15,1,11,30,8,1,"Banana",24,4
"69",2,24954,1,16,0,42,42,NA,NA,NA,NA,NA,0,"Total 0% with Honey Nonfat Greek Strained Yogurt",120,16
"70",2,24990,1,11,0,155,155,NA,NA,NA,NA,NA,0,"Go Mango! Organic Dried Chili Lime Mango",117,19
"71",2,27344,1,6,0,42,42,NA,NA,NA,NA,NA,0,"Uncured Genoa Salami",96,20
"72",2,27413,1,7,0,198,198,NA,NA,NA,NA,NA,0,"100% Mighty Mango Juice Smoothie",31,7
"73",2,27737,1,26,0,91,91,NA,NA,NA,NA,NA,0,"Brown Rice Black-Eyed Peas and Veggies Bowl",38,1
"74",2,27966,1,9,0,42,42,NA,NA,NA,NA,NA,0,"Organic Raspberries",123,4
"75",2,28918,1,2,0,83,83,NA,NA,NA,NA,NA,0,"Marcona Almonds",117,19
"76",2,30908,1,2,0,185,185,NA,NA,NA,NA,NA,0,"Teriyaki Turkey Jerky",23,19
"77",2,32052,3,5,14,83,97,NA,NA,NA,NA,NA,0,"Organic Brown Rice Cake Salt-Free",78,19
"78",2,32139,3,6,14,127,141,NA,NA,NA,NA,NA,0,"Hommus Classic Original",67,20
"79",2,32792,6,1,20.5,155,175.5,15,1,11,30,4,1,"Chipotle Beef & Pork Realstick",23,19
"80",2,33276,1,21,0,42,42,NA,NA,NA,NA,NA,0,"Kalamata Olive Spread",67,20
"81",2,33754,5,10,36,198,234,NA,NA,NA,NA,NA,0,"Total 2% with Strawberry Lowfat Greek Strained Yogurt",120,16
"82",2,33957,1,25,0,91,91,15,1,11,30,21,1,"Mexican Casserole Bowl",38,1
"83",2,34688,2,9,13.5,83,96.5,NA,NA,NA,NA,NA,0,"Good Belly Probiotics Juice Drink Blueberry Acai Flavor",31,7
"84",2,36287,1,17,0,155,155,NA,NA,NA,NA,NA,0,"Smooth Operator Natural Peanut Butter",88,13
"85",2,36735,2,12,56.5,155,211.5,NA,NA,NA,NA,NA,0,"Organic Roasted Sliced Chicken Breast",96,20
"86",2,38656,1,4,0,29,29,NA,NA,NA,NA,NA,0,"Gluten Free Peanut Butter Dark Chocolate Chewy With a Crunch Granola Bars",3,19
"87",2,39877,1,7,0,185,185,NA,NA,NA,NA,NA,0,"Organic Granny Smith Apple",24,4
"88",2,39928,1,13,0,198,198,NA,NA,NA,NA,NA,0,"Organic Kiwi",24,4
"89",2,40198,2,10,13.5,83,96.5,NA,NA,NA,NA,NA,0,"Blueberry Yoghurt",120,16
"90",2,40571,1,18,0,42,42,NA,NA,NA,NA,NA,0,"Total 2% Greek Strained Yogurt with Cherry 5.3 oz",120,16
"91",2,41787,2,16,7,56,63,15,1,11,30,5,1,"Bartlett Pears",24,4
"92",2,42342,1,1,0,185,185,NA,NA,NA,NA,NA,0,"Roasted Turkey Breast",96,20
"93",2,42356,1,18,0,155,155,NA,NA,NA,NA,NA,0,"Strawberry Preserves",88,13
"94",2,44303,1,5,0,185,185,NA,NA,NA,NA,NA,0,"Organic Shredded Unsweetened Coconut",17,13
"95",2,45066,2,10,7,56,63,15,1,11,30,9,1,"Honeycrisp Apple",24,4
"96",2,45613,1,22,0,91,91,15,1,11,30,18,1,"Pad Thai",38,1
"97",2,45948,1,9,0,185,185,NA,NA,NA,NA,NA,0,"Gluten Free 7 Grain Bread",112,3
"98",2,46676,1,12,0,42,42,NA,NA,NA,NA,NA,0,"Total 0% Nonfat Greek Yogurt",120,16
"99",2,46886,2,10,13.5,83,96.5,NA,NA,NA,NA,NA,0,"Raspberry Yoghurt",120,16
"100",2,47144,1,1,0,29,29,NA,NA,NA,NA,NA,0,"Unsweetened Original Almond Breeze Almond Milk",91,16
"101",2,47209,7,7,27,198,225,NA,NA,NA,NA,NA,0,"Organic Hass Avocado",24,4
"102",2,47553,1,9,0,29,29,NA,NA,NA,NA,NA,0,"Sugarfree Peppermint Chewing Gum",20,11
"103",2,47766,1,13,0,29,29,NA,NA,NA,NA,NA,0,"Organic Avocado",24,4
"104",2,47792,1,21,0,91,91,NA,NA,NA,NA,NA,0,"Organic Beans & Rice Cheddar Cheese Burrito",38,1
"105",2,48099,1,19,0,91,91,NA,NA,NA,NA,NA,0,"Truffle Parmesan Macaroni & Cheese Bowl",38,1
"106",2,48110,1,5,0,83,83,NA,NA,NA,NA,NA,0,"Thin Stackers Brown Rice Lightly Salted",78,19
"107",2,48210,1,6,0,29,29,NA,NA,NA,NA,NA,0,"Whole Wheat Blueberry Fig Bars",48,14
"108",2,49273,1,20,0,91,91,NA,NA,NA,NA,NA,0,"Light and Lean Quinoa Black Beans with Butternut Squash and Chard",38,1
"109",2,NA,1,NA,0,228,228,NA,NA,NA,NA,NA,0,NA,NA,NA
"110",5,3376,1,8,0,40,40,NA,NA,NA,NA,NA,0,"Organic Whole Kernel Sweet Corn No Salt Added",81,15
"111",5,5999,1,12,0,40,40,NA,NA,NA,NA,NA,0,"Semi-Soft Cheese, Ripened",21,16
"112",5,6808,1,2,0,11,11,NA,NA,NA,NA,NA,0,"Organic Spinach & Cheese Tortellini",12,9
"113",5,8518,2,7,20,40,60,NA,NA,NA,NA,NA,0,"Organic Red Onion",83,4
"114",5,11777,4,5,10.5,40,50.5,NA,NA,NA,NA,NA,0,"Red Raspberries",123,4
"115",5,13870,1,8,0,11,11,NA,NA,NA,NA,NA,0,"Lightly Salted Baked Snap Pea Crisps",107,19
"116",5,13988,2,8,14.5,40,54.5,NA,NA,NA,NA,NA,0,"Snow Peas",83,4
"117",5,15349,1,1,0,0,0,5,0,11,6,1,1,"Organic Raw Agave Nectar",29,13
"118",5,16168,1,5,0,40,40,NA,NA,NA,NA,NA,0,"Large Organic Omega3 Brown Eggs",86,16
"119",5,18761,1,6,0,11,11,NA,NA,NA,NA,NA,0,"Balsamic Vinegar Of Modena",19,13
"120",5,20754,1,3,0,21,21,NA,NA,NA,NA,NA,0,"Mediterranean Mint Gelato",37,1
"121",5,21413,2,4,20,40,60,5,0,11,6,4,1,"Organic Soba",66,6
"122",5,21616,1,5,0,11,11,5,0,11,6,9,1,"Organic Baby Arugula",123,4
"123",5,22475,1,10,0,0,0,NA,NA,NA,NA,NA,0,"Jicama",83,4
"124",5,24231,1,4,0,21,21,NA,NA,NA,NA,NA,0,"Tahitian Vanilla Bean Gelato",37,1
"125",5,24535,3,3,11,40,51,NA,NA,NA,NA,NA,0,"Plain Whole Milk Yogurt",120,16
"126",5,26604,4,8,10.5,40,50.5,NA,NA,NA,NA,NA,0,"Organic Blackberries",24,4
"127",5,27344,1,1,0,40,40,NA,NA,NA,NA,NA,0,"Uncured Genoa Salami",96,20
"128",5,28289,1,4,0,0,0,NA,NA,NA,NA,NA,0,"Organic Shredded Carrots",123,4
"129",5,31717,1,7,0,0,0,NA,NA,NA,NA,NA,0,"Organic Cilantro",16,4
"130",5,40706,2,4,9.5,40,49.5,5,0,11,6,8,1,"Organic Grape Tomatoes",123,4
"131",5,43693,3,3,11,40,51,NA,NA,NA,NA,NA,0,"Whole Vitamin D Milk",84,16
"132",5,48775,1,3,0,0,0,NA,NA,NA,NA,NA,0,"Organic Red Cabbage",83,4
"133",5,NA,1,NA,0,46,46,NA,NA,NA,NA,NA,0,NA,NA,NA
"134",7,4920,4,6,19.5,186,205.5,NA,NA,NA,NA,NA,0,"Seedless Red Grapes",123,4
"135",7,4945,3,10,7,193,200,NA,NA,NA,NA,NA,0,"Large Pineapple Chunks",123,4
"136",7,8277,3,3,19,186,205,NA,NA,NA,NA,NA,0,"Apple Honeycrisp Organic",24,4
"137",7,8518,1,5,0,193,193,NA,NA,NA,NA,NA,0,"Organic Red Onion",83,4
"138",7,9598,1,5,0,203,203,NA,NA,NA,NA,NA,0,"Gogo Squeez Organic Apple Strawberry Applesauce on the Go",99,15
"139",7,10504,1,8,0,158,158,NA,NA,NA,NA,NA,0,"Yukon Gold Potatoes 5lb Bag",83,4
"140",7,11520,1,9,0,186,186,NA,NA,NA,NA,NA,0,"Large Alfresco Eggs",86,16
"141",7,12196,2,8,19,196,215,NA,NA,NA,NA,NA,0,"Chicken Quesadilla",13,20
"142",7,13176,1,8,0,147,147,NA,NA,NA,NA,NA,0,"Bag of Organic Bananas",24,4
"143",7,13198,4,6,14.5,203,217.5,21,2,11,6,4,1,"85% Lean Ground Beef",122,12
"144",7,15592,2,12,22.5,203,225.5,NA,NA,NA,NA,NA,0,"Organic Baby Romaine Lettuce",123,4
"145",7,17638,5,5,7,186,193,21,2,11,6,7,1,"Vanilla Coffee Concentrate",26,7
"146",7,18382,1,15,0,158,158,NA,NA,NA,NA,NA,0,"Saltine Crackers",78,19
"147",7,18880,1,12,0,193,193,NA,NA,NA,NA,NA,0,"Organic Free Range Low Sodium Chicken Broth",69,15
"148",7,21137,7,3,11,203,214,NA,NA,NA,NA,NA,0,"Organic Strawberries",24,4
"149",7,21298,1,10,0,147,147,NA,NA,NA,NA,NA,0,"Organic Cake Cones",37,1
"150",7,22000,2,7,17.5,193,210.5,NA,NA,NA,NA,NA,0,"The Original Worcestershire Sauce",72,13
"151",7,22742,1,6,0,147,147,NA,NA,NA,NA,NA,0,"Organic Sparkling Blood Orange Beverage",98,7
"152",7,23516,1,9,0,193,193,NA,NA,NA,NA,NA,0,"Organic Unbleached All-Purpose Flour",17,13
"153",7,23712,2,10,19,196,215,NA,NA,NA,NA,NA,0,"Natural Crackers",78,19
"154",7,25199,1,12,0,158,158,NA,NA,NA,NA,NA,0,"Classic Chicken Salad",1,20
"155",7,26209,1,3,0,193,193,NA,NA,NA,NA,NA,0,"Limes",24,4
"156",7,27156,1,4,0,193,193,NA,NA,NA,NA,NA,0,"Organic Black Beans",59,15
"157",7,27344,1,11,0,186,186,NA,NA,NA,NA,NA,0,"Uncured Genoa Salami",96,20
