"","user_id","product_id","reordered","product_name","aisle_id","department_id","U_total_orders","U_dows","U_hods","U_roBkt1","U_roBkt2","U_roBkt3","U_roBkt4","U_roBkt5","U_cartbkt1","U_cartbkt2","U_cartbkt3","U_cartbkt4","U_cartbkt6","UA_orders","UA_reord_rate","UA_weight","UA_recency","UA_pur_duration","UA_Pur_freq","UA_pur_due","UA_atc0","UA_atc1","UA_atc2","UA_atc3","UA_dows","UA_hods","UD_orders","UD_reord_rate","UD_weight","UD_recency","UD_pur_duration","UD_Pur_freq","UD_pur_due","UD_atc0","UD_atc1","UD_atc2","UD_atc3","UD_dows","UD_hods"
"1",1,27845,0,"Organic Whole Milk",84,16,10,0.3,0.5,1,0,3,2,4,0,5,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0.62,0.6,14,176,13.5,1.04,0.23,0.69,0.08,0,0.38,0.46
"2",2,13640,0,"Asian Pears",24,4,14,0.36,1,2,3,6,3,0,0,1,1,6,6,33,0.58,0.6,30,198,6,5,0.27,0.12,0.33,0.27,0.24,1,36,0.56,0.43,30,198,5.5,5.45,0.25,0.11,0.36,0.28,0.25,1
"3",2,9387,0,"Granny Smith Apples",24,4,14,0.36,1,2,3,6,3,0,0,1,1,6,6,33,0.58,0.6,30,198,6,5,0.27,0.12,0.33,0.27,0.24,1,36,0.56,0.43,30,198,5.5,5.45,0.25,0.11,0.36,0.28,0.25,1
"4",2,24838,0,"Unsweetened Almondmilk",91,16,14,0.36,1,2,3,6,3,0,0,1,1,6,6,1,0,0.62,199,0,0,0,1,0,0,0,0,1,48,0.62,0.38,30,188,3.9,7.69,0.08,0.27,0.31,0.33,0.4,1
"5",2,38547,0,"Bubblegum Flavor Natural Chewing Gum",46,19,14,0.36,1,2,3,6,3,0,0,1,1,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,0.5,0.4,30,198,4.7,6.38,0.4,0.26,0.24,0.1,0.33,1
"6",2,19019,0,"Uncured Slow Cooked Ham",96,20,14,0.36,1,2,3,6,3,0,0,1,1,6,6,10,0.5,0.64,43,185,18.5,2.32,0.3,0.2,0.3,0.2,0.4,1,21,0.43,0.44,43,185,8.8,4.89,0.24,0.29,0.29,0.19,0.33,1
"7",2,12007,0,"Organic All Day Fresh Deodorant Lavender",80,11,14,0.36,1,2,3,6,3,0,0,1,1,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.38,199,0,0,0,0,0,1,0,0,1
"8",2,26352,0,"Chicken Caesar Salad",1,20,14,0.36,1,2,3,6,3,0,0,1,1,6,6,1,0,1,215,0,0,0,0,1,0,0,1,1,21,0.43,0.44,43,185,8.8,4.89,0.24,0.29,0.29,0.19,0.33,1
"9",2,31883,0,"Vegetable Lasagna",38,1,14,0.36,1,2,3,6,3,0,0,1,1,6,6,12,0.17,0.43,137,70,5.8,23.62,0.08,0,0.08,0.83,0,1,17,0.29,0.3,30,177,10.4,2.88,0.06,0.06,0.12,0.76,0.18,1
"10",2,12324,0,"Indian Paneer Tikka",38,1,14,0.36,1,2,3,6,3,0,0,1,1,6,6,12,0.17,0.43,137,70,5.8,23.62,0.08,0,0.08,0.83,0,1,17,0.29,0.3,30,177,10.4,2.88,0.06,0.06,0.12,0.76,0.18,1
